,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-302,1996,22.2,14.8,21.3,69.5,229.9,46.0,8.24,10.6,77.9,4.50,5.99,75.2,1.22,2.21,55.1,0.14,0.12,0.01,1.17,0.90,0.59,0.05,1.53,Matches
14,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,23-086,1999,14.8,52.8,60.9,86.7,870.1,216.8,26.7,29.2,91.4,19.7,22.0,89.5,4.86,6.76,72.0,0.07,0.05,0.01,0.54,5.00,0.68,0.00,3.99,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-353,1993,3.7,19.7,26.5,74.5,311.9,80.8,10.3,12.2,84.4,7.84,10.3,76.3,1.35,2.16,62.5,0.00,0.19,-0.19,1.08,1.35,1.08,0.54,2.43,Matches
16,Martin Adeline\7587446d,fr FRA,MFFW,Reims,fr Ligue 1,18-160,2003,3.9,27.4,37.4,73.3,473.6,142.3,11.3,14.1,80.0,12.3,15.4,80.0,2.31,3.85,60.0,0.00,0.10,-0.10,0.77,2.56,0.51,0.00,2.82,Matches
17,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,22-001,2000,14.0,28.0,37.1,75.4,417.5,122.4,15.5,18.4,84.1,10.6,14.1,75.1,1.00,2.21,45.2,0.14,0.13,0.01,0.93,2.14,1.14,0.57,2.86,Matches
18,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-286,2000,25.1,36.3,49.3,73.6,770.7,253.5,14.3,17.0,84.5,14.0,17.2,81.5,7.49,13.2,56.8,0.28,0.22,0.06,2.27,4.46,1.55,0.16,5.90,Matches
19,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,it Serie A,25-125,1997,3.2,46.3,50.9,90.8,765.6,186.6,23.4,24.7,94.9,16.6,18.8,88.3,4.38,5.31,82.4,0.00,0.09,-0.09,0.94,1.88,0.31,0.00,2.81,Matches
20,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,19-112,2003,7.4,16.9,22.2,76.2,247.2,35.7,9.86,12.2,81.1,5.68,7.03,80.8,0.68,1.22,55.6,0.00,0.03,-0.03,0.68,0.41,0.81,0.27,1.35,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,26-001,1996,17.2,31.7,44.5,71.3,591.6,304.0,12.9,15.5,83.5,15.5,20.2,76.4,3.26,7.67,42.4,0.06,0.05,0.01,0.76,2.91,1.05,0.58,3.20,Matches
22,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,21-136,2000,4.0,15.3,20.5,74.4,423.8,259.3,3.50,3.50,100.0,7.50,7.50,100.0,4.00,9.25,43.2,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,Matches
23,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,20-091,2002,19.8,39.8,47.3,84.2,759.6,198.1,16.8,19.1,87.9,15.6,17.7,88.0,6.36,7.98,79.7,0.00,0.02,-0.02,0.56,3.28,0.51,0.00,3.79,Matches
24,Kevin Agudelo\46fa7204,co COL,FWMF,Spezia,it Serie A,23-178,1998,12.2,20.5,27.7,74.0,302.0,90.5,11.1,13.3,84.0,8.11,10.1,80.5,0.49,1.80,27.3,0.00,0.06,-0.06,0.74,2.13,0.90,0.16,2.79,Matches
25,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,26-042,1996,28.4,65.2,72.5,90.0,1504.1,490.5,16.0,17.2,93.2,33.9,35.5,95.4,14.9,19.0,78.7,0.07,0.01,0.06,0.11,3.73,0.07,0.00,2.85,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-343,1988,1.7,18.2,25.3,72.1,275.9,25.3,10.6,14.7,72.0,5.88,8.82,66.7,1.18,1.18,100.0,0.00,0.18,-0.18,0.59,1.18,0.00,0.00,1.18,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,29-015,1993,21.8,62.0,73.8,84.0,1091.1,421.6,29.0,31.4,92.4,27.3,31.3,87.1,5.09,9.13,55.8,0.09,0.03,0.06,0.46,5.50,1.42,0.28,6.28,Matches
28,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,22-097,2000,0.1,20.0,20.0,100.0,240.0,0.00,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,20-043,2002,0.7,42.9,48.6,88.2,810.0,122.9,18.6,21.4,86.7,12.9,14.3,90.0,8.57,10.0,85.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,Matches
30,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,23-046,1999,13.0,51.0,57.4,88.9,1046.8,320.1,18.3,19.5,93.7,24.2,26.2,92.1,8.08,10.5,76.6,0.08,0.05,0.03,0.69,2.31,0.31,0.08,3.77,Matches
31,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,28-052,1994,10.0,31.8,37.7,84.4,513.9,97.4,15.3,16.8,91.1,12.7,14.5,87.6,2.60,4.30,60.5,0.10,0.11,-0.01,0.60,1.90,0.80,0.10,2.70,Matches
32,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-224,1995,27.3,44.0,52.9,83.1,1007.8,282.4,10.2,11.5,88.6,22.8,25.5,89.6,10.4,14.9,69.7,0.00,0.00,-0.00,0.11,3.59,0.26,0.04,3.37,Matches
33,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-215,1996,14.0,33.0,46.6,70.9,582.3,250.6,15.9,18.4,86.4,12.6,16.9,75.0,3.93,8.64,45.5,0.00,0.09,-0.09,1.00,2.79,1.36,0.36,4.00,Matches
34,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-339,2001,17.3,36.5,49.2,74.3,630.1,222.4,19.0,20.7,91.9,13.7,17.6,77.7,3.64,8.61,42.3,0.12,0.07,0.05,0.87,1.21,0.75,0.46,2.08,Matches
35,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,24-024,1998,20.5,27.2,38.1,71.3,489.7,237.7,10.9,13.1,82.9,12.7,16.1,78.5,2.88,6.34,45.4,0.15,0.07,0.08,0.29,2.20,0.44,0.05,3.41,Matches
36,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,28-075,1994,29.1,22.2,30.3,73.4,336.6,45.4,12.7,16.0,79.6,6.32,8.73,72.4,1.79,2.68,66.7,0.27,0.19,0.09,1.31,1.00,0.86,0.14,1.55,Matches
37,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-296,1995,24.1,69.4,76.4,90.8,1548.7,520.4,19.1,20.7,92.2,36.1,37.5,96.3,13.9,17.4,80.0,0.00,0.00,-0.00,0.08,4.98,0.12,0.00,4.69,Matches
38,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,29-060,1993,18.7,29.8,40.8,73.1,563.3,230.3,12.4,14.6,85.0,13.6,17.2,78.9,3.48,7.27,47.8,0.00,0.02,-0.02,0.37,1.23,0.70,0.37,1.55,Matches
39,Marley Aké\414e1f69,fr FRA,FW,Juventus,it Serie A,21-126,2001,0.2,20.0,20.0,100.0,370.0,115.0,5.00,5.00,100.0,5.00,5.00,100.0,5.00,5.00,100.0,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,Matches
40,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,27-082,1995,9.9,75.9,83.3,91.0,1395.7,405.1,32.5,34.5,94.2,35.2,38.3,91.8,7.68,9.49,80.9,0.00,0.05,-0.05,0.20,5.35,0.30,0.00,3.13,Matches
41,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,18-025,2004,1.4,32.1,37.9,84.9,446.4,137.9,25.0,25.7,97.2,5.71,7.14,80.0,1.43,3.57,40.0,0.00,0.29,-0.29,2.14,2.14,3.57,0.71,4.29,Matches
42,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,20-075,2002,0.6,33.3,36.7,90.9,453.3,135.0,21.7,21.7,100.0,8.33,10.0,83.3,1.67,3.33,50.0,0.00,0.17,-0.17,1.67,1.67,5.00,0.00,6.67,Matches
43,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,24-142,1997,5.7,50.4,57.5,87.5,937.5,219.8,20.5,23.2,88.6,22.6,24.9,90.8,5.79,7.54,76.7,0.00,0.02,-0.02,0.53,4.91,0.35,0.00,4.91,Matches
44,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-212,1992,3.4,25.6,31.5,81.3,352.4,52.4,15.0,17.6,85.0,8.53,9.41,90.6,0.59,0.88,66.7,0.00,0.00,0.00,0.59,1.47,0.29,0.00,0.88,Matches
45,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,27-022,1995,16.0,43.1,55.5,77.6,815.1,333.2,17.9,21.0,85.1,19.6,23.3,83.9,5.19,9.19,56.5,0.13,0.13,-0.01,0.75,3.19,0.81,0.13,4.63,Matches
46,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-321,1992,29.4,61.4,66.9,91.7,1143.1,371.3,25.5,26.5,96.5,27.6,29.3,94.3,7.35,9.69,75.8,0.10,0.08,0.02,0.75,4.49,0.61,0.17,3.47,Matches
47,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-286,1998,1.8,46.7,56.7,82.4,710.0,210.0,26.7,28.3,94.1,17.8,21.1,84.2,1.11,2.78,40.0,0.00,0.00,0.00,0.56,2.78,0.00,0.00,2.22,Matches
48,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,23-112,1999,15.1,25.8,36.2,71.1,590.3,158.1,8.48,9.67,87.7,10.3,13.5,76.0,6.36,11.3,56.5,0.07,0.07,-0.01,0.93,2.98,0.53,0.20,2.52,Matches
49,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-215,1992,6.6,15.6,22.1,70.5,208.0,33.5,10.0,13.6,73.3,4.70,5.61,83.8,0.30,1.06,28.6,0.00,0.17,-0.17,0.91,0.15,0.30,0.00,1.06,Matches
50,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,33-051,1989,28.4,78.8,93.6,84.3,1378.4,521.7,36.7,39.7,92.3,33.7,38.9,86.6,7.54,11.9,63.3,0.35,0.20,0.15,1.97,7.85,2.22,0.63,8.80,Matches
51,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,fr Ligue 1,30-110,1992,0.2,30.0,40.0,75.0,430.0,225.0,15.0,20.0,75.0,15.0,20.0,75.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-225,1992,25.3,62.6,75.6,82.9,1068.6,346.4,31.2,34.0,91.9,23.6,27.2,86.9,6.36,11.7,54.2,0.40,0.30,0.09,2.45,7.71,1.90,0.28,6.76,Matches
53,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-249,1985,24.5,51.1,58.4,87.5,1212.5,333.8,11.0,11.9,92.4,27.6,29.6,93.4,12.0,15.8,76.0,0.00,0.00,-0.00,0.08,2.37,0.04,0.00,2.53,Matches
54,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,eng Premier League,32-174,1989,12.1,27.4,44.1,62.2,439.1,188.6,16.1,18.9,85.2,9.01,13.6,66.1,1.82,8.51,21.4,0.08,0.11,-0.02,0.74,1.74,0.66,0.25,2.48,Matches
55,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-254,1993,7.1,14.2,19.2,74.3,193.2,36.6,8.45,10.1,83.3,3.52,5.21,67.6,0.85,0.99,85.7,0.42,0.24,0.18,0.85,0.70,0.42,0.14,0.99,Matches
56,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,31-030,1991,16.5,77.9,86.9,89.6,1639.7,427.1,27.0,29.2,92.5,35.9,38.7,92.8,14.3,17.2,83.1,0.18,0.12,0.06,1.64,11.5,1.33,0.06,10.2,Matches
57,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,es La Liga,31-010,1991,10.1,45.5,53.9,84.6,963.8,274.4,17.3,18.8,92.1,17.0,19.1,89.1,10.1,14.1,71.8,0.00,0.08,-0.08,1.09,6.24,0.79,0.10,5.05,Matches
58,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,25-136,1996,25.7,20.8,33.9,61.5,546.5,245.0,5.41,6.69,80.8,8.33,11.0,75.9,6.73,15.4,43.7,0.00,0.01,-0.01,0.16,2.68,0.23,0.00,2.72,Matches
59,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,27-090,1995,11.7,17.1,28.9,59.2,290.3,119.9,9.32,11.5,80.7,4.79,7.52,63.6,2.39,7.78,30.8,0.17,0.20,-0.03,1.79,1.20,1.79,1.62,1.88,Matches
60,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,fr Ligue 1,19-194,2002,12.0,23.8,32.7,73.0,707.6,428.4,3.08,3.08,100.0,13.0,13.3,98.1,7.58,16.2,46.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,es La Liga,24-126,1998,24.4,26.6,33.4,79.9,487.5,96.5,12.4,13.9,89.1,9.88,12.1,81.7,3.85,5.94,64.8,0.08,0.07,0.02,0.78,2.34,0.66,0.16,2.42,Matches
62,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-216,1998,30.7,63.6,85.6,74.3,1403.6,567.2,23.1,26.2,88.4,25.6,31.9,80.5,14.2,24.9,57.0,0.39,0.34,0.05,2.74,7.17,2.74,0.75,8.70,Matches
63,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,22-044,2000,0.2,50.0,70.0,71.4,930.0,635.0,20.0,20.0,100.0,20.0,30.0,66.7,10.0,15.0,66.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,18-112,2004,19.2,11.0,15.5,71.4,151.9,30.3,6.98,8.54,81.7,2.97,4.11,72.2,0.42,1.20,34.8,0.05,0.13,-0.08,0.68,0.63,0.52,0.26,0.83,Matches
65,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-221,1992,34.0,32.8,37.8,86.6,876.0,480.2,5.12,5.21,98.3,18.4,18.6,98.9,9.18,13.9,65.8,0.03,0.01,0.02,0.06,0.38,0.00,0.00,0.00,Matches
66,Allan\cc700722,br BRA,MF,Everton,eng Premier League,31-123,1991,24.1,31.1,39.6,78.4,596.1,174.8,11.6,13.6,85.6,14.6,17.5,83.4,4.02,6.43,62.6,0.08,0.04,0.05,0.62,4.02,0.79,0.08,4.40,Matches
67,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,27-073,1995,15.6,24.7,33.1,74.6,392.7,79.2,13.5,16.3,82.7,8.14,10.8,75.1,2.18,3.72,58.6,0.13,0.11,0.02,0.83,2.31,0.64,0.19,2.24,Matches
68,Dele Alli\cea4ee8f,eng ENG,MF,Everton,eng Premier League,26-030,1996,2.5,36.4,48.4,75.2,593.6,169.6,16.8,21.2,79.2,13.2,16.4,80.5,3.60,6.00,60.0,0.00,0.12,-0.12,2.00,2.80,1.20,0.40,3.60,Matches
69,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,26-030,1996,7.3,22.9,29.3,78.0,368.1,89.2,12.9,14.8,87.0,7.67,9.45,81.2,1.92,3.70,51.9,0.00,0.11,-0.11,0.27,1.78,0.68,0.00,2.60,Matches
70,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,28-090,1994,17.3,20.2,25.7,78.6,311.8,74.3,11.2,12.9,87.0,6.76,8.44,80.1,1.50,2.54,59.1,0.00,0.03,-0.03,0.87,1.10,0.46,0.12,1.73,Matches
71,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,31-134,1990,22.1,47.2,60.5,78.1,822.3,286.8,23.1,25.9,89.0,18.8,22.4,84.0,4.48,9.59,46.7,0.18,0.19,-0.01,1.86,2.99,1.45,0.63,4.71,Matches
72,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-275,1998,14.4,32.8,49.0,67.0,752.3,323.8,9.72,12.2,80.0,14.1,18.5,76.3,8.61,16.8,51.2,0.00,0.03,-0.03,0.49,3.13,0.56,0.28,3.26,Matches
73,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-324,1985,0.1,10.0,30.0,33.3,220.0,30.0,0.00,10.0,0.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,27-107,1995,19.7,40.7,48.7,83.6,908.4,326.5,11.3,12.3,91.7,21.4,23.6,90.7,7.87,11.9,66.0,0.00,0.01,-0.01,0.10,2.74,0.20,0.00,3.10,Matches
75,Dani Alves\c9e99e49,br BRA,DF,Barcelona,es La Liga,39-005,1983,10.3,71.5,85.0,84.1,1233.8,424.0,37.8,40.8,92.6,25.2,28.5,88.4,7.57,13.5,56.1,0.29,0.16,0.14,1.94,7.77,1.84,0.87,4.66,Matches
76,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-245,1998,4.5,46.0,52.0,88.5,804.2,200.0,20.4,22.7,90.2,18.9,20.0,94.4,5.33,7.11,75.0,0.00,0.04,-0.04,0.67,3.78,0.67,0.22,3.78,Matches
77,Ibrahim Amadou\9260926b,fr FRA,DFMF,Metz,fr Ligue 1,29-035,1993,9.0,42.9,48.9,87.7,897.3,232.3,13.6,14.3,94.6,22.8,24.6,92.8,6.22,8.89,70.0,0.00,0.00,0.00,0.33,1.11,0.00,0.00,1.33,Matches
78,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-172,2001,0.9,30.0,44.4,67.5,496.7,183.3,16.7,21.1,78.9,10.0,13.3,75.0,3.33,7.78,42.9,1.11,0.00,1.11,1.11,1.11,0.00,0.00,2.22,Matches
79,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,27-141,1994,21.1,56.4,61.6,91.6,1157.7,325.2,16.8,17.7,94.7,31.3,32.8,95.4,7.82,9.72,80.5,0.00,0.01,-0.01,0.14,2.27,0.00,0.00,2.42,Matches
80,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-299,1996,9.8,16.9,21.5,78.7,243.6,61.2,10.0,11.6,86.0,4.29,6.02,71.2,1.33,1.53,86.7,0.10,0.04,0.06,0.61,1.12,0.51,0.10,1.43,Matches
81,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,28-063,1994,1.4,54.3,62.9,86.4,1002.9,270.7,24.3,27.1,89.5,23.6,25.7,91.7,6.43,8.57,75.0,0.00,0.07,-0.07,0.71,4.29,1.43,0.71,5.00,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Nice,fr Ligue 1,28-063,1994,4.0,56.5,66.3,85.3,1014.3,334.5,27.5,30.0,91.7,22.0,24.8,88.9,6.00,9.00,66.7,0.00,0.00,0.00,0.00,4.25,0.25,0.00,6.25,Matches
83,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,24-092,1998,27.4,31.0,39.3,78.8,515.8,231.5,15.7,17.6,89.0,11.9,14.7,80.9,2.70,4.89,55.2,0.04,0.04,-0.00,0.44,1.97,0.40,0.11,2.41,Matches
84,Nadiem Amiri\555d5edd,de GER,MFFW,Genoa,it Serie A,25-196,1996,6.0,29.3,40.5,72.4,486.5,137.2,14.8,17.8,83.2,11.5,13.8,83.1,2.67,7.33,36.4,0.17,0.15,0.02,2.50,2.17,0.83,0.17,3.00,Matches
85,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,25-196,1996,4.1,44.9,54.4,82.5,816.8,142.2,19.8,22.7,87.1,18.8,21.2,88.5,5.12,7.80,65.6,0.00,0.05,-0.05,0.73,2.20,2.20,0.00,4.39,Matches
86,Ethan Ampadu\10b9fa99,wls WAL,MFDF,Venezia,it Serie A,21-239,2000,23.4,34.6,46.1,75.1,696.0,262.9,12.6,15.2,82.8,16.2,19.3,84.3,5.30,10.0,52.8,0.09,0.06,0.03,0.60,3.25,0.56,0.21,3.80,Matches
87,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,25-263,1996,9.5,55.8,62.0,90.0,1221.4,250.6,16.9,18.5,91.5,26.8,28.8,93.1,11.3,12.7,88.4,0.00,0.01,-0.01,0.53,5.47,0.42,0.00,4.21,Matches
88,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25-345,1996,29.4,56.8,68.4,83.0,1464.9,439.3,10.6,11.9,89.4,30.0,32.0,93.6,16.0,23.9,66.6,0.10,0.06,0.04,0.54,4.83,0.31,0.07,2.79,Matches
89,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,29-026,1993,30.1,35.5,45.5,78.0,553.1,148.3,20.3,23.5,86.3,11.8,14.9,79.0,2.59,4.35,59.5,0.17,0.22,-0.05,1.63,1.69,2.06,0.40,3.99,Matches
90,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30-300,1991,14.0,12.0,18.1,66.4,145.6,27.4,7.71,10.5,73.5,2.57,4.57,56.3,0.21,0.50,42.9,0.07,0.09,-0.02,0.71,0.21,0.36,0.07,0.64,Matches
91,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,29-030,1993,2.0,14.0,20.0,70.0,186.0,22.5,9.00,10.5,85.7,4.00,6.50,61.5,0.50,1.00,50.0,0.00,0.00,0.00,1.00,1.50,0.00,0.00,1.00,Matches
92,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,23-207,1998,11.6,30.4,44.6,68.3,567.2,266.6,12.5,15.9,78.8,14.2,19.4,73.3,3.10,7.50,41.4,0.00,0.02,-0.02,0.26,2.93,0.09,0.00,3.28,Matches
93,Fredrik André Bjørkan\3724baa1,no NOR,DF,Hertha BSC,de Bundesliga,23-263,1998,3.7,35.1,43.2,81.3,530.3,243.2,20.8,22.7,91.7,11.9,14.9,80.0,1.89,3.51,53.8,0.00,0.03,-0.03,0.54,1.08,0.81,0.54,2.16,Matches
94,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,31-281,1990,29.8,46.9,58.0,81.0,852.0,231.1,21.0,24.4,86.4,17.9,21.2,84.0,6.24,8.99,69.4,0.03,0.06,-0.03,0.50,4.36,0.47,0.03,4.70,Matches
