Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28-052,1994,10,0.2,0,0,2.3,1.7,0,0.3,2.2,0.9,0,0,0,10.6,1.3,0.7,65,Matches
32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26-224,1995,27.3,0.04,0,0,0.37,0.66,0.04,0.07,1.9,1.36,0,0,0.04,9.85,2.6,1.76,59.7,Matches
33,Ola Aina,ng NGA,DF,Torino,it Serie A,25-215,1996,14,0.29,0,0,1.36,1.86,0,2.07,2.14,0.86,0,0,0,8,1.21,1.5,44.7,Matches
34,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20-339,2001,17.3,0.23,0,0,0.92,1.04,0.17,2.66,1.79,2.25,0.06,0,0,6.42,1.04,1.1,48.6,Matches
35,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-024,1998,20.5,0.2,0,0,0.78,0.93,0,0.59,2.29,1.02,0,0,0,8.29,2.88,1.85,60.8,Matches
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,28-075,1994,29.1,0.17,0.03,0,1.17,1.24,0.48,0.58,0.45,0.86,0.07,0,0.03,3.78,5.19,3.92,57,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26-296,1995,24.1,0.12,0,0,0.91,1.04,0.04,0.04,1.87,1.49,0,0,0.04,9.05,2.61,1.45,64.3,Matches
38,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,29-060,1993,18.7,0.21,0,0,1.28,1.34,0.11,1.55,2.99,1.28,0,0.05,0,9.52,2.03,1.6,55.9,Matches
39,Marley Aké,fr FRA,FW,Juventus,it Serie A,21-126,2001,0.2,0,0,0,15,0,0,5,5,0,0,0,0,0,0,0,,Matches
40,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27-082,1995,9.9,0,0,0,0.81,0.51,0,0,1.82,0.51,0,0,0,7.68,4.14,0.81,83.7,Matches
41,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,18-025,2004,1.4,0,0,0,2.86,3.57,0,3.57,0,0,0,0,0,7.14,0,1.43,0,Matches
42,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,20-075,2002,0.6,1.67,0,0,5,1.67,1.67,0,0,1.67,0,0,0,6.67,1.67,3.33,33.3,Matches
43,Paul Akouokou,ci CIV,MF,Betis,es La Liga,24-142,1997,5.7,0.35,0.18,0,2.46,0.53,0,0,2.11,2.11,0,0,0,9.65,1.58,0.18,90,Matches
44,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,29-212,1992,3.4,0.29,0,0,3.82,2.94,0,0,0.88,2.35,0,0.29,0,6.76,1.76,2.06,46.2,Matches
45,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-022,1995,16,0.31,0,0,1.81,1.5,0.25,1.75,2,1.19,0,0.06,0,8.56,1.44,1.38,51.1,Matches
46,David Alaba,at AUT,DF,Real Madrid,es La Liga,29-321,1992,29.4,0.07,0,0,0.61,0.44,0.07,1.09,1.39,0.61,0,0,0,6.43,0.78,0.78,50,Matches
47,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23-286,1998,1.8,0.56,0,0,2.78,4.44,0,0.56,3.33,3.33,0,0,0,8.89,0.56,0.56,50,Matches
48,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23-112,1999,15.1,0.33,0,0,1.59,0.6,0,1.52,1.79,0.99,0,0.07,0,9.87,1.39,1.46,48.8,Matches
49,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,29-215,1992,6.6,0.3,0,0,1.21,1.36,1.06,0.15,0.3,0.61,0.15,0,0,3.64,2.73,4.85,36,Matches
50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33-051,1989,28.4,0.35,0,0,0.99,0.85,0.28,3.56,1.62,0.88,0,0,0,9.19,0.63,1.02,38.3,Matches
51,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,30-110,1992,0.2,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,,Matches
52,Luis Alberto,es ESP,MF,Lazio,it Serie A,29-225,1992,25.3,0.2,0,0,0.67,1.03,0.04,1.98,0.83,0.71,0,0,0,7.19,0.43,0.59,42.3,Matches
53,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36-249,1985,24.5,0.24,0,0,0.73,0.49,0.08,0,1.35,0.61,0,0,0,9.22,1.96,1.02,65.8,Matches
54,Marc Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,32-174,1989,12.1,0.25,0,0,0.66,1.24,0.08,2.4,2.07,1.24,0,0,0,6.28,0.5,0.91,35.3,Matches
55,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,28-254,1993,7.1,0.14,0,0,0.7,0.42,0.85,0.14,0.42,0.42,0,0,0,2.82,1.55,2.39,39.3,Matches
56,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-030,1991,16.5,0.12,0,0,1.45,1.52,0,0.12,2.12,2.36,0,0,0,12.7,2.24,0.97,69.8,Matches
57,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-010,1991,10.1,0.5,0,0,3.17,3.86,0.1,0.69,1.09,2.28,0,0.1,0,12.7,2.57,2.18,54.2,Matches
58,Omar Alderete,py PAR,DF,Valencia,es La Liga,25-136,1996,25.7,0.54,0,0,1.87,0.19,0,0.08,2.45,1.71,0,0.08,0,10.8,3.62,1.6,69.4,Matches
59,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,27-090,1995,11.7,0.6,0,0,3.16,3.25,0.43,6.5,1.37,1.71,0,0.09,0,7.52,1.2,1.2,50,Matches
60,Do?an Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19-194,2002,12,0.08,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,,Matches
61,Carles Aleñá,es ESP,MF,Getafe,es La Liga,24-126,1998,24.4,0.25,0.04,0,2.13,1.64,0.04,0.9,0.78,0.82,0,0,0,6.31,0.49,1.07,31.6,Matches
62,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23-216,1998,30.7,0.07,0,0,0.52,0.29,0.29,3.94,2.41,0.78,0,0,0,10,0.59,0.72,45,Matches
63,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,22-044,2000,0.2,0,0,0,0,0,0,5,5,0,0,0,0,20,5,5,50,Matches
64,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,18-112,2004,19.2,0.31,0.1,0.1,1.51,2.34,0.57,1.41,0.68,0.36,0,0,0,4.11,0.73,3.59,16.9,Matches
65,Alisson,br BRA,GK,Liverpool,eng Premier League,29-221,1992,34,0,0,0,0,0.15,0,0,0,0,0,0,0.03,6.18,0,0,,Matches
66,Allan,br BRA,MF,Everton,eng Premier League,31-123,1991,24.1,0.29,0.04,0,1.62,1.16,0,0.25,1.74,2.53,0.04,0,0,11.1,0.5,0.54,48,Matches
67,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,27-073,1995,15.6,0.06,0,0,1.09,2.5,0.13,1.99,0.64,0.96,0,0.06,0,5.38,1.09,1.47,42.5,Matches
68,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-030,1996,2.5,1.2,0,0,3.6,1.2,0.8,1.2,2.8,2.4,0,0,0,12.8,3.2,3.2,50,Matches
69,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,26-030,1996,7.3,0.14,0,0,1.78,2.05,0.27,0.41,2.33,0.96,0.14,0,0,6.3,1.51,1.78,45.8,Matches
70,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,28-090,1994,17.3,0.12,0,0,1.16,1.45,0.52,1.27,1.27,1.85,0,0,0,6.76,0.29,0.98,22.7,Matches
71,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,31-134,1990,22.1,0.36,0,0,1.4,1.49,0.14,2.71,2.94,1.18,0,0.05,0,8.96,2.49,1,71.4,Matches
72,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,23-275,1998,14.4,0.28,0,0,2.64,0.97,0.07,0.97,2.85,1.81,0,0.07,0,13.1,2.64,2.29,53.5,Matches
73,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,36-324,1985,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
74,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27-107,1995,19.7,0.3,0,0,1.22,0.61,0.05,0.1,2.54,0.96,0,0,0,12.5,3.35,2.28,59.5,Matches
75,Dani Alves,br BRA,DF,Barcelona,es La Liga,39-005,1983,10.3,0.19,0.1,0,2.52,1.07,0,2.72,2.04,1.65,0,0.1,0,9.61,0.49,0.58,45.5,Matches
76,Steven Alzate,co COL,MF,Brighton,eng Premier League,23-245,1998,4.5,0,0,0,1.33,1.78,0,0.44,3.11,1.78,0,0,0,13.6,1.56,2.67,36.8,Matches
77,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,29-035,1993,9,0.44,0,0,1.44,0.44,0,0,2.22,1.11,0,0,0,6.89,1.11,1.44,43.5,Matches
78,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,20-172,2001,0.9,0,0,0,2.22,1.11,0,1.11,0,0,0,0,0,10,2.22,1.11,66.7,Matches
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27-141,1994,21.1,0.19,0,0,0.76,0.43,0.05,0,1.42,0.57,0,0,0,9.05,1.9,1.8,51.3,Matches
80,Amath,sn SEN,FWMF,Mallorca,es La Liga,25-299,1996,9.8,0.51,0,0,2.04,2.14,0.61,0.71,1.12,1.33,0,0,0,4.8,0.31,1.73,15,Matches
81,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,28-063,1994,1.4,0,0,0,2.14,0.71,0,1.43,0.71,2.14,0,0,0,2.86,2.14,1.43,60,Matches
82,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,28-063,1994,4,0.25,0,0,0.5,0.75,0,1,2.5,1,0,0,0,9.75,2.25,2.25,50,Matches
83,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24-092,1998,27.4,0.33,0.07,0.04,1.35,0.51,0.04,0.58,1.57,1.24,0,0,0,4.93,1.46,1.31,52.6,Matches
84,Nadiem Amiri,de GER,MFFW,Genoa,it Serie A,25-196,1996,6,0,0,0,0.67,3,0.17,1,0.67,1.17,0,0,0,7,0.83,2.17,27.8,Matches
85,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,25-196,1996,4.1,0,0,0,0.24,3.17,0,0.73,1.22,0.98,0,0,0,9.02,0.24,0.98,20,Matches
86,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,21-239,2000,23.4,0.51,0.09,0.04,2.18,1.07,0,0.81,2.31,1.75,0,0,0,10.6,2.52,1.5,62.8,Matches
87,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25-263,1996,9.5,0.53,0,0,2.74,1.58,0,0.21,1.05,2,0,0,0,10.8,0.95,1.79,34.6,Matches
88,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25-345,1996,29.4,0.14,0,0,0.61,0.27,0.03,0.31,1.97,0.75,0,0,0.03,8.47,2.65,1.29,67.2,Matches
89,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-026,1993,30.1,0.07,0,0,1.4,1.13,0.23,2.29,1.23,1.43,0,0,0,6.01,0.53,0.86,38.1,Matches
90,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30-300,1991,14,0.21,0,0,1.93,1.21,0.43,1.07,0.21,0.64,0,0,0,3.07,3.71,6,38.2,Matches
91,Florin Andone,ro ROU,FW,Cádiz,es La Liga,29-030,1993,2,0.5,0,0,2.5,0.5,1.5,0,0.5,0,0,0,0,4,3.5,7,33.3,Matches
92,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,23-207,1998,11.6,0.34,0,0,1.21,0.17,0.09,0.95,2.24,1.72,0,0.09,0,11.2,2.67,2.24,54.4,Matches
93,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,23-263,1998,3.7,0.27,0,0,0.81,0.81,0,0.81,1.62,1.89,0,0,0,8.92,0.27,1.89,12.5,Matches
94,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,31-281,1990,29.8,0.37,0.03,0.03,2.45,2.15,0.07,0.54,2.52,2.58,0,0.07,0,11.4,3.83,2.65,59.1,Matches
95,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,27-231,1994,19.8,0.25,0.05,0,2.12,0.86,0.1,0.25,2.32,1.57,0,0,0,11.3,2.02,1.11,64.5,Matches
96,José Ángel,es ESP,DF,Osasuna,es La Liga,32-248,1989,11.2,0.18,0.09,0,0.8,0.63,0,2.68,1.61,2.14,0,0,0,10.8,1.43,0.36,80,Matches
97,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,25-127,1997,24.6,0.12,0,0,0.65,1.5,0.16,5,1.38,0.73,0,0,0,8.05,0.85,0.85,50,Matches
98,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,19-263,2002,0.3,0,0,0,0,0,0,0,6.67,0,0,0,0,13.3,0,0,,Matches
99,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,35-233,1986,6.8,0.15,0,0,1.32,1.03,0.29,4.41,0.59,1.03,0,0,0,8.68,0.59,0.74,44.4,Matches
100,Janis Antiste,fr FRA,FWMF,Spezia,it Serie A,19-266,2002,7.9,0,0,0,1.77,0.76,0.51,0.89,0.89,1.39,0,0,0,4.68,1.9,2.66,41.7,Matches
101,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25-295,1996,27.8,0.22,0.04,0,1.08,0.65,0.04,0.43,2.3,1.15,0,0,0,9.96,2.95,2.27,56.6,Matches
102,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21-308,2000,0.6,0,0,0,0,0,0,0,5,0,0,0,0,6.67,0,0,,Matches
103,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32-044,1990,31,0.26,0.03,0.03,1.48,1.94,0.42,1.68,0.35,0.65,0,0,0,4.03,2.55,4.48,36.2,Matches
104,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,28-093,1994,12.6,0.16,0,0,1.27,2.3,0.87,2.22,0.56,1.51,0.08,0,0,5.56,1.19,4.44,21.1,Matches
105,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23-315,1998,26.6,0.04,0,0,1.09,1.77,0.08,0.53,1.43,1.2,0,0,0,7.37,0.38,0.9,29.4,Matches
106,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-300,2002,10.9,0.18,0,0,0.92,1.28,0.18,2.02,1.74,0.92,0,0,0,7.89,1.1,1.93,36.4,Matches
107,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29-336,1992,22,0.18,0,0,1.77,0.18,0.09,1.23,1.95,1.5,0,0.05,0.05,7.23,1.55,1.95,44.2,Matches
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,26-223,1995,26.6,0.45,0,0,2.41,1.8,0,0.83,1.58,1.32,0,0.04,0,9.96,1.09,1.32,45.3,Matches
109,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26-362,1995,22.6,0.27,0,0,1.33,3.72,0.31,2.52,0.53,0.49,0.04,0.04,0,5.18,0.62,1.77,25.9,Matches
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-024,1989,17.2,0.12,0,0,1.69,0.99,0,0.47,2.38,1.92,0,0,0,11,0.7,1.4,33.3,Matches
111,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,30-255,1991,27.1,0.15,0,0,0.74,0.33,0,0.11,1.7,0.55,0,0,0,9.67,2.44,1.92,55.9,Matches
112,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23-065,1999,24.2,0.25,0,0,0.91,0.5,0.04,0.17,1.45,1.24,0,0,0,8.31,2.85,0.95,75,Matches
113,Cameron Archer,eng ENG,MFFW,Aston Villa,eng Premier League,20-294,2001,0.3,0,0,0,10,0,0,0,3.33,0,0,0,0,6.67,3.33,6.67,33.3,Matches
114,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29-073,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
115,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22-313,1999,1.9,0.53,0,0,2.63,1.58,0,1.05,0.53,1.58,0,0,0,7.89,1.58,1.05,60,Matches
116,Matias Arezo,uy URU,FW,Granada,es La Liga,19-171,2002,1.7,0.59,0,0,1.76,0,0,1.76,0.59,1.18,0,0,0,7.06,4.71,3.53,57.1,Matches
117,Santiago Arias,co COL,DF,Granada,es La Liga,30-118,1992,3.9,0.26,0,0,1.28,1.28,0.51,1.79,0.77,0.77,0,0,0,12.1,1.79,3.59,33.3,Matches
118,Adam Armstrong,eng ENG,FWMF,Southampton,eng Premier League,25-090,1997,15,0.07,0,0,0.93,0.6,0.13,1.4,0.6,0.4,0.07,0,0,3.73,0.8,2.47,24.5,Matches
119,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,30-042,1992,15.1,0.07,0,0,0.6,1.32,0.07,1.92,0.86,0.93,0,0,0,9.14,0.33,1.32,20,Matches
120,Marko Arnautovi?,at AUT,FW,Bologna,it Serie A,33-022,1989,28.9,0.21,0,0,1.63,0.9,0.45,0.66,0.48,0.52,0,0,0,3.88,1.7,1.83,48,Matches
121,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27-349,1994,32.3,0.12,0,0,1.76,1.98,0.03,1.42,2.07,1.05,0,0.03,0,10.8,1.02,0.8,55.9,Matches
122,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27-220,1994,4,0,0,0,0,0.25,0,0,0,0,0,0,0,4,0,0,,Matches
123,Tolgay Arslan,de GER,MF,Udinese,it Serie A,31-268,1990,18.3,0.44,0,0,1.69,2.24,0,1.37,1.75,1.26,0.05,0,0,10,0.44,0.44,50,Matches
124,Arthur,br BRA,FW,Fiorentina,it Serie A,24-016,1998,7.5,0.13,0,0,2.13,1.33,0.13,0.27,0.4,0.67,0,0,0,2,2.13,3.6,37.2,Matches
125,Santiago Arzamendia,py PAR,MFDF,Cádiz,es La Liga,24-006,1998,5.2,0.38,0,0,1.54,1.54,0.19,2.5,1.54,2.31,0,0,0,8.46,3.65,2.88,55.9,Matches
126,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,27-182,1994,17,0.06,0,0,0.88,1.76,1,1.35,1,0.59,0,0,0,5.82,1.18,3.06,27.8,Matches
127,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,25-075,1997,25.4,0.16,0,0,1.69,1.57,0.12,0.12,2.13,2.32,0,0,0,11.7,1.42,1.85,43.4,Matches
128,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32-317,1989,6,0.17,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,,Matches
129,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,26-110,1996,18.2,0.11,0,0,0.66,1.32,0.11,2.31,1.32,0.55,0,0,0,5.44,0.05,0.44,11.1,Matches
130,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,20-178,2001,0.1,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,,Matches
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,21-122,2001,8.2,0.61,0,0,2.32,1.71,0,0.12,2.2,1.22,0,0,0.12,8.66,2.8,1.95,59,Matches
132,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,19-276,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
133,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,20-063,2002,13,0.15,0,0,0.85,1.77,0,0.92,2.31,0.77,0,0,0,9.08,0.38,0.92,29.4,Matches
134,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,34-283,1987,32.3,0.28,0,0,0.74,1.86,0.53,2.48,0.59,0.22,0,0.03,0,5.76,1.05,1.8,37,Matches
135,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21-323,2000,6.5,0,0,0,2,2,0.31,2.31,2.15,1.54,0,0,0,9.54,1.54,0.92,62.5,Matches
136,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,21-106,2001,7.7,0,0,0,1.43,0.65,0.26,1.82,2.99,0.65,0,0,0.13,9.09,0.78,1.04,42.9,Matches
137,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25-359,1996,12.7,0.31,0,0,1.42,1.89,0.24,3.78,3.15,1.65,0.08,0.08,0,9.29,2.2,1.02,68.3,Matches
138,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32-327,1989,10.7,0,0,0,0.65,0.65,0.47,0.75,0.37,0.19,0,0,0,2.8,0.75,1.4,34.8,Matches
139,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32-327,1989,11.5,0.26,0,0,1.57,1.04,0.87,0.78,0.09,0.61,0,0,0,3.3,2.43,2.78,46.7,Matches
140,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25-113,1997,26.5,0.08,0,0,0,0.26,0,0,0,0,0,0,0,3.7,0,0,,Matches
